,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Way,Spend
0,1,0,1,2,39.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
1,0,0,5,2,24.0,0,109.0,9.0,25.0,549.0,44.0,02,736.0
2,1,0,0,2,58.0,1,43.0,3576.0,0.0,6715.0,49.0,12,10383.0
3,1,0,0,2,33.0,0,0.0,1283.0,371.0,3329.0,193.0,12,5176.0
4,0,0,5,2,16.0,0,303.0,70.0,151.0,565.0,2.0,02,1091.0
5,0,0,5,1,44.0,0,0.0,483.0,0.0,291.0,0.0,01,774.0
6,0,0,5,2,26.0,0,42.0,1539.0,3.0,0.0,0.0,02,1584.0
8,0,0,5,2,35.0,0,0.0,785.0,17.0,216.0,0.0,02,1018.0
9,1,1,1,0,14.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
11,1,0,1,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,10,8157.0
12,2,0,5,2,32.0,0,73.0,0.0,1123.0,0.0,113.0,22,1309.0
13,0,0,6,2,48.0,0,719.0,1.0,65.0,0.0,24.0,02,809.0
14,0,0,5,2,28.0,0,8.0,974.0,12.0,2.0,7.0,02,1003.0
17,0,0,5,0,24.0,0,0.0,1.0,0.0,0.0,637.0,00,638.0
18,2,1,5,2,45.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
19,0,0,6,2,0.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
20,0,0,5,0,14.0,0,412.0,0.0,1.0,0.0,679.0,00,1092.0
21,0,1,4,2,1.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
22,0,1,4,0,49.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
24,0,0,4,2,10.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
26,0,0,4,2,7.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
27,2,0,3,2,21.0,0,980.0,2.0,69.0,0.0,0.0,22,1051.0
29,0,0,5,2,15.0,0,0.0,225.0,0.0,998.0,0.0,02,1223.0
30,1,0,2,0,34.0,0,22.0,6073.0,0.0,1438.0,328.0,10,7861.0
31,2,0,5,2,43.0,0,1125.0,0.0,136.0,48.0,0.0,22,1309.0
32,0,0,6,2,32.0,0,0.0,850.0,81.0,437.0,453.0,02,1821.0
33,2,0,5,2,47.0,0,214.0,0.0,1411.0,0.0,1229.0,22,2854.0
34,2,0,5,2,2.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
36,1,1,3,0,28.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
37,2,0,3,0,23.0,0,784.0,964.0,0.0,951.0,0.0,20,2699.0
39,0,0,5,0,20.0,0,554.0,195.0,0.0,2606.0,0.0,00,3355.0
41,0,1,6,2,17.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
42,1,0,1,2,45.0,0,0.0,164.0,45.0,2511.0,855.0,12,3575.0
43,0,1,6,2,55.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
44,0,1,6,0,4.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
45,0,1,6,1,21.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
46,2,0,5,2,21.0,0,970.0,0.0,180.0,0.0,64.0,22,1214.0
49,0,0,4,2,56.0,0,0.0,112.0,0.0,1379.0,127.0,02,1618.0
51,0,0,5,2,25.0,0,0.0,0.0,1938.0,0.0,1.0,02,1939.0
52,1,0,0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
53,1,1,0,2,38.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
54,1,0,0,2,27.0,0,279.0,605.0,3374.0,286.0,3.0,12,4547.0
55,0,1,6,1,36.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
56,0,0,5,2,22.0,0,45.0,1096.0,148.0,1377.0,1.0,02,2667.0
57,0,0,5,2,62.0,0,0.0,592.0,0.0,17.0,25.0,02,634.0
58,2,1,5,2,15.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
60,0,0,6,2,62.0,0,1.0,153.0,197.0,0.0,460.0,02,811.0
61,0,1,6,1,0.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
62,0,0,6,2,18.0,0,1.0,258.0,446.0,0.0,0.0,02,705.0
63,0,0,5,0,21.0,0,1946.0,37.0,0.0,0.0,24.0,00,2007.0
65,0,0,5,2,42.0,0,887.0,0.0,9.0,6.0,0.0,02,902.0
66,0,0,5,2,19.0,0,190.0,0.0,5.0,1.0,726.0,02,922.0
67,0,0,5,2,17.0,0,16.0,2165.0,0.0,0.0,52.0,02,2233.0
68,0,0,5,2,14.0,0,0.0,1.0,0.0,0.0,1063.0,02,1064.0
69,2,0,3,1,37.0,0,46.0,83.0,738.0,0.0,12.0,21,879.0
70,1,0,2,2,42.0,0,1.0,8397.0,0.0,0.0,506.0,12,8904.0
71,2,0,5,2,27.0,0,147.0,0.0,1018.0,0.0,0.0,22,1165.0
72,2,0,5,2,28.0,0,14.0,0.0,1295.0,0.0,0.0,22,1309.0
73,1,0,2,2,38.0,0,0.0,5840.0,0.0,321.0,9654.0,12,15815.0
