,pred
0,True
1,False
2,True
3,True
4,False
5,True
6,True
7,True
8,False
9,False
10,False
11,False
12,False
13,False
14,True
15,False
16,False
17,True
18,True
19,True
20,False
21,True
22,True
23,True
24,True
25,True
26,False
27,True
28,False
29,False
30,False
31,True
32,False
33,False
34,True
35,False
36,True
37,False
38,True
39,False
40,False
41,False
42,True
43,True
44,False
45,False
46,True
47,True
48,False
49,True
50,True
51,False
52,True
53,False
54,False
55,True
56,True
57,False
58,True
59,False
60,False
61,False
62,False
63,False
64,True
65,False
66,True
67,True
68,True
69,True
70,True
71,False
72,False
73,False
74,True
75,True
76,False
77,True
78,True
79,False
80,False
81,False
82,False
83,False
84,False
85,True
86,True
87,True
88,False
89,True
90,False
91,True
92,False
93,True
94,True
95,False
96,True
97,True
98,False
99,True
100,True
101,False
102,False
103,False
104,False
105,False
106,False
107,True
108,True
109,False
110,False
111,True
112,False
113,True
114,True
115,False
116,False
117,False
118,True
119,False
120,True
121,False
122,True
123,True
124,False
125,False
126,False
127,True
128,False
129,False
130,False
131,False
132,True
133,False
134,True
135,False
136,True
137,False
138,False
139,True
140,True
141,True
142,False
143,True
144,True
145,True
146,False
147,True
148,False
149,True
150,True
151,True
152,True
153,False
154,False
155,False
156,False
157,False
158,True
159,True
160,False
161,False
162,False
163,False
164,True
165,True
166,True
167,True
168,True
169,False
170,False
171,False
172,True
173,True
174,False
175,True
176,False
177,False
178,True
179,False
180,True
181,True
182,True
183,True
184,True
185,False
186,False
187,False
188,True
189,True
190,False
191,False
192,True
193,True
194,True
195,False
196,False
197,False
198,True
199,True
200,False
201,True
202,True
203,True
204,False
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,False
213,True
214,True
215,True
216,True
217,False
218,True
219,True
220,True
221,True
222,False
223,False
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,False
233,True
234,True
235,True
236,False
237,False
238,True
239,True
240,True
241,False
242,True
243,False
244,True
245,True
246,True
247,True
248,False
249,False
250,False
251,True
252,True
253,True
254,True
255,True
256,False
257,False
258,True
259,True
260,True
261,False
262,False
263,True
264,True
265,False
266,True
267,False
268,True
269,False
270,False
271,False
272,False
273,False
274,False
275,True
276,False
277,False
278,True
279,False
280,True
281,False
282,True
283,True
284,False
285,True
286,False
287,True
288,False
289,True
290,False
291,False
292,True
293,False
294,True
295,True
296,False
297,True
298,False
299,True
300,True
301,True
302,True
303,False
304,True
305,False
306,True
307,True
308,False
309,False
310,True
311,True
312,False
313,True
314,True
315,False
316,True
317,False
318,False
319,False
320,False
321,True
322,False
323,True
324,True
325,False
326,True
327,False
328,False
329,True
330,True
331,True
332,True
333,False
334,True
335,True
336,False
337,False
338,True
339,True
340,False
341,False
342,False
343,False
344,True
345,True
346,True
347,True
348,True
349,True
350,False
351,False
352,False
353,True
354,True
355,False
356,False
357,False
358,False
359,False
360,False
361,True
362,True
363,False
364,False
365,True
366,True
367,False
368,False
369,True
370,True
371,False
372,False
373,True
374,False
375,False
376,True
377,False
378,False
379,True
380,False
381,False
